Asset Id,Asset Unique Id,Parent Asset Id,Date Created,External Asset Ref,External Asset Created On,External Asset Updated On,Client Asset Id,Client Date Created,Client Last Modified,Asset Type,Category Name,Asset Status,Compliance Status,Site Name,Sub Block Name,Zone Name,Location Name,
11782,COURT OFF - SVPOU2,,2022-05-21 09:05:29,,,,,,,TMV (Thermostatic Mixing Valve),Water,Un-assigned,,Courtyard Care Ltd - HO,,Ground Floor ,Visitors Toilet,
11783,EMILYS - TMT8,,2022-05-21 09:21:10,,,,,,,Shower and Tap Outlets,Water,Un-assigned,,Emilys House,,Ground Floor ,Bedroom 6,
11784,EMILYS - TMT7,,2022-05-21 09:22:23,,,,,,,TMV (Thermostatic Mixing Valve),Water,Un-assigned,,Emilys House,,Ground Floor ,Bedroom 5,
11785,EMILYS - TMT6,,2022-05-21 09:23:29,,,,,,,TMV (Thermostatic Mixing Valve),Water,Un-assigned,,Emilys House,,Ground Floor ,Bedroom 4,
11786,EMILYS - TMT5,,2022-05-21 09:24:39,,,,,,,TMV (Thermostatic Mixing Valve),Water,Un-assigned,,Emilys House,,Ground Floor ,Bedroom 3,
11787,EMILYS - TMT4,,2022-05-21 09:25:50,,,,,,,TMV (Thermostatic Mixing Valve),Water,Un-assigned,,Emilys House,,Ground Floor ,Bedroom 2,
11788,EMILYS - TMT3,,2022-05-21 09:27:01,,,,,,,TMV (Thermostatic Mixing Valve),Water,Un-assigned,,Emilys House,,Ground Floor ,Bedroom 1,
11789,COURT - CP1,,2022-05-22 08:17:45,,,,,,,Call Point,Fire,Un-assigned,,Courtyard,,Ground Floor,Hallway / Corridor,
11790,COURT - CP2,,2022-05-22 08:18:58,,,,,,,Call Point,Fire,Assigned,,Courtyard,,Ground Floor,Bedroom 6,
11791,COURT - EML1,,2022-05-22 08:19:56,,,,,,,Emergency Lights,Fire,Assigned,,Courtyard,,Ground Floor,Hallway / Corridor,
11792,COURT - EML2,,2022-05-22 08:20:56,,,,,,,Emergency Lights,Fire,Un-assigned,,Courtyard,,Ground Floor,Bedroom 6,
11793,COURT - FB1,,2022-05-22 08:22:08,,,,,,,Fire Blanket,Fire,Un-assigned,,Courtyard,,Ground Floor,Kitchen,
11794,COURT - FEX2,,2022-05-22 08:23:21,,,,,,,Fire Extinguisher,Fire,Un-assigned,,Courtyard,,Ground Floor,Hallway / Corridor,
11795,COURT - FEX1,,2022-05-22 08:25:28,,,,,,,Fire Extinguisher,Fire,Un-assigned,,Courtyard,,Ground Floor,Kitchen,
11796,COURT - FEX3,,2022-05-22 08:26:42,,,,,,,Fire Extinguisher,Fire,Un-assigned,,Courtyard,,Ground Floor,Lounge / Dining Room,
11797,COURT - FEX4,,2022-05-22 08:28:56,,,,,,,Fire Extinguisher,Fire,Un-assigned,,Courtyard,,Ground Floor,Hallway / Corridor,
11798,COURT - CO1,,2022-05-22 08:30:02,,,,,,,C0 Monitor,Maintenance,Un-assigned,,Courtyard,,Ground Floor,Laundry,
11799,COURT - LR1,,2022-05-22 08:31:02,,,,,,,Record of Lint Removal,Fire,Un-assigned,,Courtyard,,Ground Floor,Laundry,
11800,COURT - LADD1,,2022-05-22 08:32:39,,,,,,,Ladder Safety Checks,Maintenance,Un-assigned,,Courtyard,,1st Floor,Loft area stores,
11801,COURT - EF1,,2022-05-22 08:33:30,,,,,,,Extractor Fan,Maintenance,Un-assigned,,Courtyard,,Ground Floor,Laundry,
