Asset Id,Asset Unique Id,Parent Asset Id,Asset Type,Compliance Status,Site Name,Site Postcode,Sub Block Name,Zone Name,Location Name,
12548,EviTag_iOS_32,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12549,EviTag_iOS_33,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12550,EviTag_iOS_34,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12551,EviTag_iOS_35,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12552,EviTag_iOS_36,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12553,EviTag_iOS_37,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12554,EviTag_iOS_38,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12555,EviTag_iOS_39,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12556,EviTag_iOS_40,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12557,EviTag_iOS_41,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12558,EviTag_iOS_42,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12559,EviTag_iOS_43,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12560,EviTag_iOS_44,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12561,EviTag_iOS_45,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12562,EviTag_iOS_46,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12563,EviTag_iOS_47,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12564,EviTag_iOS_48,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12565,EviTag_iOS_49,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12566,EviTag_iOS_50,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12567,EviTag_iOS_51,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12568,EviTag_iOS_52,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12569,EviTag_iOS_53,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12570,EviTag_iOS_54,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
